"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"17.03.2024","9.111,50","8.844,50","9.223,20","8.695,39","13,81B","3,20%"
"10.03.2024","8.828,70","9.337,19","9.368,51","8.795,90","11,93B","-3,57%"
"03.03.2024","9.155,32","9.139,11","9.174,19","8.736,45","15,12B","0,64%"
"25.02.2024","9.097,15","9.411,11","9.450,48","9.062,36","15,75B","-2,96%"
"18.02.2024","9.374,20","9.322,05","9.416,70","9.173,27","18,54B","1,34%"
"11.02.2024","9.250,36","9.134,22","9.306,34","8.917,74","19,98B","2,26%"
"04.02.2024","9.045,97","8.716,57","9.045,97","8.694,94","15,56B","4,39%"
"28.01.2024","8.665,68","8.400,05","8.762,89","8.399,35","14,23B","3,83%"
"21.01.2024","8.346,28","7.996,10","8.347,58","7.915,48","13,61B","4,37%"
"14.01.2024","7.996,70","7.996,66","8.116,90","7.937,06","11,81B","0,13%"
"07.01.2024","7.986,47","7.667,85","8.081,69","7.667,85","14,55B","4,69%"
"31.12.2023","7.628,73","7.542,25","7.634,08","7.386,99","9,31B","2,12%"
"24.12.2023","7.470,18","7.526,56","7.526,56","7.202,88","9,80B","-1,16%"
"17.12.2023","7.557,56","7.957,51","8.010,47","7.553,85","10,74B","-5,46%"
"10.12.2023","7.993,85","7.920,28","7.998,42","7.529,31","12,49B","1,01%"
"03.12.2023","7.913,76","8.050,77","8.120,50","7.747,49","12,20B","-1,40%"
"26.11.2023","8.026,27","8.028,79","8.149,44","7.912,02","13,09B","0,83%"
"19.11.2023","7.959,95","7.918,31","8.062,11","7.851,34","13,20B","1,36%"
"12.11.2023","7.853,36","7.784,33","7.863,99","7.520,02","11,94B","1,06%"
"05.11.2023","7.771,34","7.792,84","7.942,82","7.738,66","11,83B","0,85%"
"29.10.2023","7.705,99","7.688,39","7.786,37","7.297,00","12,54B","-0,01%"
"22.10.2023","7.706,41","7.649,39","8.084,44","7.384,45","17,68B","2,61%"
"15.10.2023","7.510,68","8.228,49","8.252,32","7.446,97","16,05B","-7,43%"
"08.10.2023","8.113,30","8.300,69","8.518,86","8.054,64","20,93B","-4,15%"
"01.10.2023","8.464,93","8.374,60","8.562,70","8.179,93","25,44B","1,56%"
"24.09.2023","8.334,94","8.105,36","8.389,68","8.096,95","24,07B","3,68%"
"17.09.2023","8.039,18","7.952,42","8.094,03","7.644,68","19,52B","0,97%"
"10.09.2023","7.961,98","8.385,55","8.403,81","7.797,06","23,34B","-4,36%"
"03.09.2023","8.325,30","8.141,33","8.398,44","8.090,21","26,70B","3,34%"
"27.08.2023","8.056,12","7.837,07","8.060,92","7.837,07","18,83B","4,40%"
"20.08.2023","7.716,67","7.446,35","7.902,95","7.407,94","29,40B","2,71%"
"13.08.2023","7.513,29","7.795,01","7.868,74","7.424,04","25,36B","-2,61%"
"06.08.2023","7.714,38","7.434,53","7.766,12","7.359,49","26,70B","4,24%"
"30.07.2023","7.400,57","7.143,14","7.427,10","7.113,31","27,10B","4,72%"
"23.07.2023","7.067,28","6.730,03","7.096,99","6.538,29","26,39B","5,67%"
"16.07.2023","6.687,78","6.501,80","6.724,42","6.299,57","24,06B","3,88%"
"09.07.2023","6.437,74","6.264,34","6.446,01","6.228,19","24,04B","4,05%"
"02.07.2023","6.187,09","5.867,23","6.223,26","5.867,23","20,32B","7,43%"
"25.06.2023","5.759,11","5.644,33","5.766,58","5.632,06","4,04B","3,16%"
"18.06.2023","5.582,75","5.485,47","5.593,99","5.152,81","14,90B","1,96%"
"11.06.2023","5.475,48","5.673,76","5.730,19","5.322,01","15,93B","-2,68%"
"04.06.2023","5.626,49","5.233,23","5.639,23","5.204,48","19,53B","10,00%"
"28.05.2023","5.114,97","4.696,17","5.146,70","4.622,26","17,95B","11,66%"
"21.05.2023","4.580,67","4.532,60","4.605,29","4.404,09","10,56B","1,75%"
"14.05.2023","4.501,73","4.489,58","4.700,01","4.405,99","11,96B","-6,13%"
"07.05.2023","4.795,61","4.433,26","4.982,86","4.374,14","15,50B","8,97%"
"30.04.2023","4.400,76","4.628,36","4.660,31","4.311,41","6,97B","-4,70%"
"23.04.2023","4.617,93","5.022,51","5.076,41","4.578,14","9,29B","-7,87%"
"16.04.2023","5.012,34","5.112,01","5.138,08","4.975,48","6,99B","-1,58%"
"09.04.2023","5.092,88","4.956,02","5.198,39","4.956,02","13,09B","3,42%"
"02.04.2023","4.924,64","4.806,40","5.028,81","4.680,46","10,43B","2,32%"
"26.03.2023","4.812,93","5.064,79","5.074,03","4.752,91","11,86B","-4,35%"
"19.03.2023","5.031,98","5.119,58","5.137,07","4.890,44","12,31B","-2,03%"
"12.03.2023","5.136,44","5.414,87","5.429,33","5.065,31","15,32B","-4,61%"
"05.03.2023","5.384,56","5.244,17","5.503,09","5.221,93","21,20B","3,30%"
"26.02.2023","5.212,38","5.076,41","5.352,08","4.980,06","18,21B","3,04%"
"19.02.2023","5.058,75","5.051,64","5.264,83","5.014,44","15,92B","0,63%"
"12.02.2023","5.026,83","4.769,15","5.320,40","4.769,15","6,95B","11,57%"
"05.02.2023","4.505,34","4.879,46","4.991,68","4.186,01","3,06B","-9,85%"
"29.01.2023","4.997,63","5.201,07","5.232,63","4.479,69","19,05B","-3,74%"
"22.01.2023","5.191,83","5.514,00","5.568,97","5.020,54","19,60B","-5,44%"
"15.01.2023","5.490,34","5.013,16","5.507,71","4.981,39","22,75B","10,14%"
"08.01.2023","4.984,86","5.401,57","5.416,73","4.601,25","21,11B","-6,68%"
"01.01.2023","5.341,96","5.568,43","5.704,83","4.961,31","25,13B","-3,03%"
"25.12.2022","5.509,16","5.516,87","5.562,98","5.258,48","19,84B","1,00%"
"18.12.2022","5.454,79","5.270,61","5.515,67","5.267,74","28,96B","4,61%"
"11.12.2022","5.214,29","5.057,53","5.302,14","5.041,71","34,60B","4,18%"
"04.12.2022","5.005,30","4.993,74","5.032,57","4.711,43","25,51B","0,85%"
"27.11.2022","4.962,97","4.906,40","5.091,68","4.817,31","27,49B","1,82%"
"20.11.2022","4.874,34","4.503,10","4.939,73","4.463,53","31,14B","7,68%"
"13.11.2022","4.526,73","4.451,86","4.784,01","4.446,58","31,18B","1,60%"
"06.11.2022","4.455,53","4.230,14","4.552,44","4.230,14","29,60B","5,66%"
"30.10.2022","4.216,98","3.884,64","4.233,58","3.880,87","21,30B","8,71%"
"23.10.2022","3.878,98","3.946,13","4.015,62","3.877,55","19,54B","-1,41%"
"16.10.2022","3.934,63","3.641,40","3.952,22","3.641,40","29,41B","8,48%"
"09.10.2022","3.626,96","3.574,09","3.640,55","3.510,86","17,81B","1,66%"
"02.10.2022","3.567,60","3.195,81","3.589,24","3.195,81","22,39B","12,19%"
"25.09.2022","3.179,99","3.282,61","3.319,14","3.048,67","22,00B","-3,10%"
"18.09.2022","3.281,61","3.382,95","3.393,66","3.149,68","22,44B","-2,83%"
"11.09.2022","3.377,33","3.557,67","3.715,28","3.277,43","31,19B","-4,09%"
"04.09.2022","3.521,38","3.247,88","3.545,86","3.247,88","37,25B","9,27%"
"28.08.2022","3.222,74","3.145,17","3.228,88","3.110,60","23,61B","2,44%"
"21.08.2022","3.146,10","3.017,82","3.188,07","3.010,69","31,05B","4,17%"
"14.08.2022","3.020,20","2.875,37","3.051,83","2.773,06","27,42B","5,44%"
"07.08.2022","2.864,25","2.759,43","2.896,67","2.759,43","22,90B","4,14%"
"31.07.2022","2.750,49","2.600,28","2.762,95","2.600,28","19,45B","6,10%"
"24.07.2022","2.592,38","2.520,84","2.593,57","2.520,84","15,08B","3,01%"
"17.07.2022","2.516,56","2.401,91","2.542,65","2.401,91","13,59B","5,63%"
"10.07.2022","2.382,44","2.435,49","2.440,98","2.375,00","4,17B","-2,12%"
"03.07.2022","2.434,02","2.458,73","2.475,47","2.359,09","9,41B","-0,40%"
"26.06.2022","2.443,77","2.539,24","2.561,14","2.367,78","12,66B","-4,32%"
"19.06.2022","2.554,08","2.548,95","2.588,68","2.511,34","12,90B","0,82%"
"12.06.2022","2.533,33","2.540,28","2.552,17","2.469,21","13,21B","-0,38%"
"05.06.2022","2.543,10","2.619,81","2.684,77","2.511,36","18,60B","-2,24%"
"29.05.2022","2.601,25","2.466,88","2.623,17","2.466,70","17,95B","6,66%"
"22.05.2022","2.438,84","2.392,34","2.470,04","2.346,12","15,65B","2,80%"
"15.05.2022","2.372,35","2.419,06","2.424,54","2.372,35","11,63B","-1,94%"
"08.05.2022","2.419,23","2.461,94","2.500,89","2.361,77","15,28B","-1,61%"
"01.05.2022","2.458,72","2.460,80","2.491,55","2.433,32","6,04B","1,16%"
"24.04.2022","2.430,55","2.471,29","2.510,27","2.398,90","17,99B","-1,70%"
"17.04.2022","2.472,50","2.502,65","2.562,28","2.465,51","23,43B","-0,88%"
"10.04.2022","2.494,37","2.402,21","2.497,83","2.400,92","26,31B","4,22%"
"03.04.2022","2.393,39","2.264,47","2.395,02","2.264,47","21,55B","6,29%"
"27.03.2022","2.251,68","2.180,21","2.255,14","2.170,24","17,18B","3,50%"
"20.03.2022","2.175,51","2.160,42","2.203,66","2.146,32","12,83B","1,46%"
"13.03.2022","2.144,26","2.066,36","2.148,67","2.066,23","12,91B","4,40%"
"06.03.2022","2.053,85","1.982,95","2.068,27","1.963,76","15,53B","3,17%"
"27.02.2022","1.990,75","1.920,20","2.047,01","1.912,23","14,02B","1,96%"
"20.02.2022","1.952,40","2.050,09","2.060,69","1.826,83","12,95B","-3,94%"
"13.02.2022","2.032,44","2.024,95","2.059,05","1.971,11","12,05B","-0,91%"
"06.02.2022","2.051,05","1.943,16","2.054,86","1.908,57","12,66B","5,52%"
"30.01.2022","1.943,81","2.004,29","2.034,85","1.936,97","12,28B","-1,99%"
"23.01.2022","1.983,18","2.004,87","2.019,43","1.880,18","14,39B","-1,39%"
"16.01.2022","2.011,16","2.088,53","2.102,97","1.959,40","21,52B","-2,98%"
"09.01.2022","2.072,93","2.049,54","2.086,96","2.017,99","16,87B","1,95%"
"02.01.2022","2.033,32","1.871,25","2.036,08","1.864,79","14,20B","9,46%"
"26.12.2021","1.857,65","1.898,66","1.942,53","1.828,60","12,10B","-1,78%"
