"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"17.03.2024","32,0591","32,1168","32,5753","31,7250","","-0,22%"
"10.03.2024","32,1309","31,9984","32,5000","31,9094","","0,92%"
"03.03.2024","31,8369","31,4082","31,9729","31,3540","","1,55%"
"25.02.2024","31,3514","31,0610","31,4549","31,0040","","1,00%"
"18.02.2024","31,0401","30,8450","31,1842","30,6977","","0,64%"
"11.02.2024","30,8428","30,6779","30,9890","30,2166","","0,46%"
"04.02.2024","30,7008","30,5016","30,8063","30,2078","","0,70%"
"28.01.2024","30,4885","30,2586","30,5792","30,1948","","0,76%"
"21.01.2024","30,2596","30,2201","30,6496","29,9769","","0,17%"
"14.01.2024","30,2069","30,0795","30,3321","29,9096","","0,35%"
"07.01.2024","30,1012","29,8422","30,4055","29,8004","","0,94%"
"31.12.2023","29,8221","29,4477","29,9750","29,4001","","1,17%"
"24.12.2023","29,4768","29,1425","29,7336","29,0080","","0,70%"
"17.12.2023","29,2732","29,0077","29,4157","28,8012","","0,98%"
"10.12.2023","28,9895","28,9456","29,0931","28,8314","","0,20%"
"03.12.2023","28,9314","28,9270","29,1292","28,8250","","0,10%"
"26.11.2023","28,9019","28,8728","28,9629","28,7395","","0,13%"
"19.11.2023","28,8656","28,6770","28,9248","28,6031","","0,56%"
"12.11.2023","28,7051","28,5450","28,8747","28,3707","","0,51%"
"05.11.2023","28,5595","28,2150","28,8050","28,2150","","0,63%"
"29.10.2023","28,3797","28,2296","28,5666","28,1104","","0,75%"
"22.10.2023","28,1679","28,0137","28,3807","27,9900","","0,66%"
"15.10.2023","27,9840","27,8099","28,2519","27,6051","","0,67%"
"08.10.2023","27,7981","27,6298","28,1125","27,5585","","0,66%"
"01.10.2023","27,6155","27,4042","27,7854","27,2575","","0,76%"
"24.09.2023","27,4071","27,1700","27,6650","26,8896","","0,87%"
"17.09.2023","27,1700","26,9990","27,4459","26,7101","","0,65%"
"10.09.2023","26,9940","26,8502","27,2635","26,6136","","0,56%"
"03.09.2023","26,8433","26,7271","27,0840","26,4866","","0,43%"
"27.08.2023","26,7276","26,3550","26,9384","25,7953","","0,66%"
"20.08.2023","26,5515","27,0412","27,3044","25,0250","","-2,04%"
"13.08.2023","27,1057","26,9538","27,2968","26,6830","","0,88%"
"06.08.2023","26,8682","26,9048","27,2739","26,5429","","-0,16%"
"30.07.2023","26,9112","26,9042","27,4931","26,8836","","0,02%"
"23.07.2023","26,9064","26,9250","27,1698","26,8277","","-0,24%"
"16.07.2023","26,9705","26,1725","27,2219","25,9309","","2,97%"
"09.07.2023","26,1923","25,9775","26,2827","25,9273","","0,52%"
"02.07.2023","26,0564","25,7825","26,3269","25,6912","","0,02%"
